BankWallet,Sum of Countries Worth,Avg Tile Price, % of Tiles Sold,Number of Active Players,% of Player's money spend,All Active Players Wallets, All Active Players Product-Portfolios,Quitting Players Wallets
56088.968531021255886835532097,58297.419436608188186361133789,0.472958654264127705301959681,0.18169795690335847,7983,1.975429904788491,4280.6946273943139695435564066,68695.758903031918313414946765,0
132802.82430651596242738051835,142813.11672571028399391072653,0.5404296389905316089075486167,0.367854527226744,13308,2.889972083105355,25064.202320308843030754477685,161812.38788030133794198104921,34.852784006483290070384756088
258657.13346296930146922684502,278291.61291572858369967364782,0.5953532347916991933427049813,0.6325411502486697,17185,4.328930348693641,50489.768368651897422137156889,313685.98502684933921957825804,34.852784006483290070384756088
408585.13464603817890027660275,439723.44148584704924269755013,0.6441090849325642797694564273,0.9132641674561774,19992,5.857034431104327,81977.26257935633244488821586,502009.28064886939748090956020,37.108933503146918732288927417
695533.47273068446991677621429,738853.80759081588171501410132,0.7161863596177620655894718627,1.3887634799659114,22206,8.883383126738899,112801.15564215881940347860701,871574.3840152475923989586386,37.108933503146918732288927417
1057792.5569977342647912386377,1114354.8350052694766232221819,0.789290244166821999977475003,1.9171124323209363,24005,12.453161403819037,150829.93415719949767324975561,1354622.0247813918460635368739,37.108933503146918732288927417
1656130.9673877181913246282894,1726930.0163100323087414904872,0.8908328189680814393604999247,2.674305557585295,25432,18.227097938171827,180270.92093074145652867995285,2192529.0648074882012814526186,37.108933503146918732288927417
2525894.3798686453055070693176,2612266.2622416801102737212367,1.0120582047006642188034022722,3.6084822791189604,26645,26.455007547719557,205134.59399262763447966043082,3464710.3096714656242242997740,71.254733983203124301776754739
3422063.0313708708562026094063,3523119.2510751573380973227451,1.1279891478886332179841911276,4.436450836199442,27642,34.36619030587111,222466.55254769208167018212727,4853476.0843550035251081479621,129.27521407709732421445791934
4475919.5644438327434555126724,4593424.9334335437240687391206,1.2690773158155789328747620371,5.2660869695019885,28519,43.40559866081652,234198.85032300319802639477559,6649221.7800123756592937327233,198.86678857701167034990974782
5448857.7599676191092188948300,5582148.2004945412487600691395,1.3796386388060976331428045283,5.934684562430087,29267,51.32213530318868,238694.38228110735585508034784,8314169.512452248845667823451,399.23880449188561041672601642
6186701.1669546431854240576641,6334235.2399033826717737274354,1.4739329159518574910245613514,6.393308473312309,29959,56.86901578660866,237009.43564668288768400266611,9693774.030613655324200902382,488.36861610663601852851321878
6881610.8198645011841122363787,7044490.0268149269885999913899,1.5655267595220896579686830069,6.790600026806484,30558,62.037943274214186,235480.01409662111461966037256,11073125.570587727069100422109,651.98967703696474613693503700
7438155.3079575542661039544893,7616636.5788983008143665508924,1.6406772844537397380691923554,7.087022791356621,31068,65.89414016041131,236480.51629506517134528403439,12223003.021674340466132702111,682.69951862525910157472976135
7900038.6495176353503871092431,8095415.019246640081435482998,1.710602038838696171841727759,7.31959617619292,31542,69.04671327087138,242922.85483025710663459805746,13256965.926733594908728676312,945.9170442591715215460649006
8322146.496898689583297012522,8530912.174373302372710356508,1.779105400113580460680034763,7.520208988272373,32010,71.62025220116855,247147.82805144893426290964513,14265585.171315124160060032888,1060.1373917661476695214019180
8692172.393320144704804921287,8914063.351865123742352515084,1.8326404129717500240096409923,7.688229688556262,32405,73.9287408472734,240020.88576809442120354788279,15099619.948086176156669668363,1338.5741868608228720075014766
9039607.721889885947438008972,9272986.296835189360365236877,1.8891538865753900605857988164,7.839534176805043,32751,75.91353395855226,241104.28727977071954735294440,15963209.746229652041565995736,1406.0668455943451405837335015
9299751.479262190541879847653,9541543.076334349820210318520,1.9387861347994754916859195569,7.948725188866708,33083,77.37110597902699,237337.75945846428343377740874,16673652.853303701196260985717,1426.5368124372146515204325674
9544619.421644368183051980181,9795241.623097095048641890674,1.984098631833461913786135074,8.04831002240972,33377,78.72430218725505,232186.66937881250677740772218,17342942.334583405436742678793,1699.6052117063822839372909440
