BankWallet,Sum of Countries Worth,Avg Tile Price, % of Tiles Sold,Number of Active Players,% of Player's money spend,All Active Players Wallets, All Active Players Product-Portfolios,Quitting Players Wallets
50324.975354191490192743444717,51855.844472643349220967912478,0.4592274156416583363866544681,0.16621742145846477,8013,1.716320990943184,3418.5558582698045030835309292,60882.381562503709889240664155,0
125400.88423720736483161097617,132928.02279676021338017831809,0.5284922065851305708571550474,0.35133925943122657,13317,2.672553511989148,19491.380648664319129896285268,151635.68170198083194244405121,2.4984557648275262113353554666
205156.71370630569269954092300,223424.86510038211578580714263,0.5769986369278016317716265207,0.5243613835485855,17197,3.4808507422872963,47649.082758785591377963719820,251519.75588123861754752541145,3.0467992361392632716756898784
311888.77860782977920013206342,342855.63946972431091797515912,0.6225306398764671878374307964,0.734177180834784,19935,4.622912425695734,77882.298004602444750058137592,386162.07481102437004152714552,3.0467992361392632716756898784
459861.18327941342788933742399,506065.23304461910357219546118,0.6690290676973214186514838304,0.9984736588720483,22240,6.109136315615565,116479.59470816385641650246668,575430.47935877411308894799830,4.5257453106406040158290804167
637840.93873044049787238468373,696182.44436562645350059284400,0.7158884207209556027691261223,1.2889020218852807,23928,7.795835010195688,147956.06644352217634940640043,806275.6450310791245370648004,40.480438849014936508448362764
869332.9445251455823122785325,939340.9272988140407799700034,0.7682782467317736730491119531,1.633148210625472,25396,9.933722868867074,177553.26016530838197678126430,1115072.5340814517685642874133,114.95792081560888908787447369
1307877.1985115052443228961593,1393239.1031752422792484453098,0.8489802753056780501936472223,2.2176963084298875,26560,14.08244641344226,208195.29126293196054270951929,1714973.0739046499221940603498,170.08695891084390291326802171
1906665.8379474515129897751827,2007088.6467990889778250142963,0.9421010822472552554100925855,2.920792373764219,27585,19.525032723457244,230488.09921433551878249973897,2563737.9741341068803661144322,284.62054480697805196797687532
2929336.8968781318870099421539,3042121.3451980565049563759921,1.0723011263023908787037783651,3.9496033934836863,28494,28.603149267538274,234609.71430344601663289817332,4064312.8877029522701357577296,351.47696343012141917513159940
4072998.3758286208105559309919,4198066.7251311053854454705902,1.2029941513857414067967412805,4.919340721261425,29284,38.53234505876683,241528.24905045767435931000324,5835986.9848745556234799656446,414.53066510050438985214659012
5130847.5167986602277275953526,5272982.9030875325773202050299,1.3129078331404142890012813263,5.701550099522201,29960,47.1977826460933,241191.62747997067642841131750,7539321.8251914040900691570958,543.27165633823557135795285635
5926491.9226980470358634503875,6084762.9451031709688475721561,1.4043435990969801230571257954,6.229298828823901,30522,53.288408673979504,242606.96854445752686956659686,8941020.842230569349504185511,778.84830509491640527323299885
6654224.5869540369736471300099,6827636.5348925682232178868094,1.4812742167130415370927730202,6.679047267513256,31063,58.705686498149504,242178.54920336631702271714333,10237046.516966674215836230213,915.6826328494675376837897060
7245170.8726651603652169003505,7433370.7477193679555813047426,1.5534296533951692229881278087,7.0212018093958815,31518,63.0303136493489,237973.17434109718136562332649,11405017.152522709074029044545,975.7162392185442627522259413
7767757.4852783091819672657031,7971170.347142829944994313602,1.5983151289542985731932710858,7.310830309948922,31955,66.63537186830159,237655.31015000784517117629987,12299072.825388092562762608225,1161.4698264553752777718620125
8197197.350262124977437700163,8411374.976297274412692906080,1.6408544738166623129775482828,7.540473040485724,32349,69.55916394264405,236264.29467403646255363484289,13107689.657600682855325710817,1302.9920988081071278384912377
8579242.832659389792756401062,8806038.926713935195948474547,1.6718907296834757756594790151,7.74139770758636,32694,72.01835330419328,229588.35698750366775683499578,13758168.852712373222434206545,1370.1686028325847782691717139
8904606.818974697062659550802,9140617.565393767366568480927,1.6864414789954874080310739921,7.911930210865144,33011,74.0734063594752,230548.91988691787899414893579,14169363.291297889701513693704,1448.5856692489099798245967213
9195565.238118755328355148176,9443605.523819688538699013887,1.7185805326440023037567373607,8.056458702774972,33313,75.82276386295212,228063.28542665984979548054927,14761934.349031106090104699602,1465.4350894897450410679202921
9465675.651025545564739980493,9723036.389558930901364929424,1.7448846468779728529639622934,8.190980432519689,33568,77.36187042051888,224752.86450402562941878641187,15253231.126023993510020202740,1524.3814927709486183819628094
9692554.801300816787049517077,9960573.823163527994271631464,1.7645765008146854557572106646,8.304192939038632,33789,78.66385170926534,226195.34665673032552612925148,15647985.242727822035664800739,1643.2367727113440141996004506
9928958.164212471515141362227,10205731.727179865995908385374,1.7887338224013658270692909846,8.421597873101781,34011,80.0413845741131,222994.35722116642479231113495,16124489.429401080895244105458,1690.1848898852642872246074031
10143842.256444654286906365552,10425906.322377731108207062880,1.8195711277941326168699284633,8.520621628573206,34229,81.24206754027719,213267.18439156146078541365261,16646543.296828397124213986263,1931.2281893960803615228240714
10345146.147901247923511423090,10631845.517222812178721160235,1.8127891306022901290340634064,8.620733614536963,34435,82.23599517973817,205009.03383809053467221654923,16739127.409136471793342862562,2183.3043276523328103854486242
10505775.380644178245788467110,10797410.584410695709349822043,1.8216535112694488150547827586,8.699413722998836,34607,83.10186094848704,202672.65368301169032746847334,17010512.358111358739099211257,2334.2972399999920549371913694
10659672.552852172705228633011,10958787.629601207337018054895,1.8236996065647654603492019302,8.773939244065517,34780,83.9213656058237,203716.50036443253070964084782,17149220.091649840712620720871,2466.9686294243876299549622961
10803786.280591145040618146452,11106921.830858782091032209014,1.8440499367776067773505713065,8.83885467211537,34941,84.57754830891443,198679.19245114643262398795351,17542322.272544106742420257195,2495.7868019063808124928252139
10926336.379712946194868710019,11233855.619153083594115374998,1.8588379887808579307373272202,8.89418088447199,35101,85.22598275912694,189020.91099600169504350511482,17794454.705047726823410573527,2503.9383452390268079044916056
11057782.741157302496103729174,11369961.331073340345257426448,1.859039892552094437831812988,8.953182810613864,35237,85.86104165562168,185725.63774381913475643650236,17868385.763469794053682581890,2503.9383452390268079044916056
11159438.971289844080195464432,11476024.233445251471295497689,1.8894965557020828951715252848,8.997094346295507,35386,86.33654707399283,181884.42076738732970481401051,18361133.855425752678637958478,2581.8464708919981604919798980
11265497.765230190944419263641,11586104.183892948074295182302,1.8979911156733287913927675555,9.042588644072113,35514,86.74528816396808,177221.20209254111602372795573,18562603.575649944472452889244,2615.9172550838716939747959375
11378117.134390098246674363533,11700734.108550158649735049268,1.9146047053897377561041283836,9.090832224399495,35629,87.22394586918584,171333.79464893357665927901375,18792469.131806385544114259325,2690.6467009000251540135332698
11470704.822667698818253173796,11797269.488067040444059729659,1.9259720145580437324576469839,9.129952414316332,35753,87.68557405757524,169582.86524613230716132755642,19010747.145862444128880583573,2691.8585527227536451525156640
11562247.163693542235348403625,11892098.985183360049381469129,1.939006418790618238186622313,9.167963496417242,35873,88.09174473180155,167041.86856527377118368915523,19274730.916337012974939533908,2691.8585527227536451525156640
11666230.293365351050687825493,12000177.843836030463896333748,1.9413774123966845729491765465,9.21129177187098,36001,88.49367976614636,161714.43227577095302858167197,19346420.078504084942771071654,2725.6725376509905131658616082
11743817.326422518342664740286,12079889.856444647947875995516,1.9577379692968918700094776669,9.243750790728631,36093,88.83869652851027,157873.77200777190854842524235,19637474.040378538714731512128,2832.0027045956492900797034862
11817138.355950294390299710494,12156051.825875355701498544982,1.9586968365482729341518728075,9.273422686886494,36179,89.1830765018909,156675.15297736082472569268001,19687659.730260135011319668204,2942.6849254766726737661968752
11884116.574180491982536373516,12225624.528322068781550740503,1.9606295950041181869372098699,9.301584891581971,36271,89.51750299778615,155393.62701038824967046254956,19802156.233774066801937837097,2967.3624875018521450374198666
11956696.915200372717961835120,12300706.152111525114406847400,1.9580617663085818087468135918,9.336395219009388,36349,89.76800485268456,151058.58652049291229690405803,19809449.953985898682175899739,2994.7606207774009867396964850
12018028.744313700238637791698,12363364.021601784442495978708,1.9618498432439281625501951481,9.365396431146795,36427,90.09883491108586,149890.75485993075993659733234,19890990.830027481840566434544,3217.6579499668888359371442748
12092939.693733138683555133039,12440127.384774846030898933467,1.9672393134514312336159389384,9.397955922124243,36503,90.40350975196911,147631.01264334481309474480985,20028689.171980381876080260198,3261.3399121111093820863290117
12158475.927063884103826632557,12508394.405554257963310524793,1.973268670025264678132311235,9.425416126813873,36584,90.66862339499184,148757.30531930364066671413009,20164549.424316579306110670110,3313.6404913051059218193588985
12208737.334184122797677505886,12561031.757760345329310697450,1.9770140190964873117291276888,9.44669011955608,36655,90.86556335902645,145248.91385276908128167107054,20281919.355960052393392089639,3526.3310272038148470029015183
12262552.131096945724427227684,12615894.590592725541493531775,1.9904189735283416116384381844,9.469679967331164,36726,91.16459749628252,139464.83518415783849624507977,20483748.863355702271280892519,3578.5833600278613125414599513
12313341.117901072991447656215,12666284.194434646320082056411,1.982370405166748575959707165,9.49102703070595,36787,91.38744248025259,133546.13683655408430245495504,20401808.847586190329534771656,3614.6258190042165968452638155
12364827.354056608196568477523,12720901.305246408125011569861,1.9795444714536277465186080867,9.514574042054445,36855,91.5974543550851,135509.86847411858607866358789,20411892.824161061303690256640,3686.6124181444182680789719236
12406269.026877844142560963455,12764352.935422538549567730037,1.9729738225795537703588127109,9.533207053362021,36912,91.7731242606642,134160.51377886165731353324468,20363172.849036022183918152979,3782.5198968524930791885696202
12451836.584020606409352794165,12811463.688382042475050198694,1.9810856658685989198197957443,9.55328973382665,36980,91.93205125395151,130812.51744717779258154173314,20534540.833517223452129005407,3798.6964245531611889812057798
12500792.071274197045691239479,12861276.036450231174604480374,1.9895962726127877035666575765,9.573899566712026,37040,92.12778677125655,127205.73928229386638577411434,20664098.152640463463356083964,3844.2266178081851806259044822
12535572.762236553958583004844,12896709.585038391189458118603,1.9955078109858347773750880552,9.58836885679534,37095,92.27940923187029,123012.29711381420975063784259,20747362.767390980195026161401,3923.3304701035073244168824279
12581953.127806566269630514806,12944281.672423480130698407244,1.9897449659461584054637562942,9.607743013090499,37141,92.46206777541802,121191.20277405456513839704494,20695376.864258303715542679209,3974.2107117016576335100965707
12614961.408712453634156094342,12978570.534044952069911286933,1.9954512896576663804890101421,9.621216715804927,37197,92.56924293850437,118290.86069084046314257734297,20809252.201428505799832871379,4032.3280180813771280831364150
12652421.420882289715032883363,13016889.585085464547484559499,2.0046931421821901564359808299,9.636316240094231,37242,92.68650081120872,114934.37456720841861631206487,20955572.792593812778006570997,4048.0246072511688304272002142
12681625.699966123416036437261,13047005.746920978729039143037,2.0132332818604675301373215268,9.647824864725381,37285,92.84124100199818,111228.69078500035630568345328,21102646.107339304889801501393,4077.1517856867950568980259410
12727014.755825095597537018375,13093777.595100151944686742115,2.0264719029703014298087587034,9.665643660412794,37332,92.98792223006932,110097.34485980516257676606229,21284928.967945277940510726487,4089.0711886063146331940492724
12757757.846263901907103898449,13124964.828142331890731730274,2.0323899105734639295830447456,9.677592013672141,37380,93.12945206390704,107311.93264340728040083463855,21378846.420858397363976350531,4119.9145538494808648417565062
12788554.113854054911914627319,13156536.192820034704268243875,2.0306186259978919227738113393,9.690079262846757,37417,93.26525261166123,106049.07776757111376116102635,21415328.097497206975818102531,4143.9203650151612085232692034
12824376.741638258421541433154,13193346.245121471756041401627,2.0293181459611919326947189106,9.704800385645921,37454,93.45381628985095,104042.78645120161658305504695,21438257.963937562968161066232,4146.8754319877070695494434278
12849495.685501762211915636288,13219511.954299152614486331449,2.0274719816866858318244084748,9.714945460079843,37493,93.55910579216889,102230.16846192028918481834021,21428618.150828649098702509643,4190.4590265359121824127963566
12875346.258217363343888438549,13246295.864931058452923600484,2.031390293166652650569043861,9.725585066116397,37530,93.60034826200655,101414.04377883824948306898626,21484050.903084409828544958555,4291.4683953311148714621678654
12911972.180369810688711437381,13283903.734795183625206368774,2.028972653895240971933171469,9.740905107136161,37583,93.69144381685787,100884.35475989661874167629808,21438245.643774274500297010160,4330.5278541743864649543706792
12933888.203484187093372563398,13306766.435546567704197463211,2.0410008101934428405408647369,9.749933244757809,37613,93.74737977200532,98791.93084446087269774861834,21614538.574389865790881793428,4394.4523493820535517635930594
12960444.581831699049281997108,13333999.006458615331949311836,2.039565573209009291921347928,9.761187427007657,37653,93.82496074882584,98075.79674026895331952095028,21656279.901754409601332255343,4414.2301316002897979089001448
12984992.859310572210361073633,13359722.088582816301812613678,2.0425547566031131445032283118,9.771255516310827,37681,93.96493537569334,97492.66213556113080304772842,21698887.905408900197809802125,4525.5538464359142114594059616
13012981.151961548204069112282,13388452.162756919698919410293,2.040178501145051142420113813,9.782631048004065,37709,94.05251053351859,96170.45732763971769295908149,21684346.072630944446036616647,4619.7230757568039195721505402
13035055.054216530389237156392,13411152.725162273012601752078,2.0420380638074885777221798738,9.791503910531482,37740,94.15899528829175,94921.22172822183082321311298,21738901.370552994429934783717,4650.8648007470980665521118682
13058778.118981034604697339166,13435275.974597457262930029489,2.031765668954447889367365613,9.801167501690019,37766,94.27097826551879,93977.72711026037309963663042,21579280.810733625292040506447,4797.0683817516923430522045150
